IMG,BUILDING,GRASS,WATER,ROAD,SKY,TREES,PLANTS,FENCE,CAR,BICYCLE,TRUCK,PERSON,CAR_COUNT,BICYCLE_COUNT,TRUCK_COUNT,PERSON_COUNT,MIN_DISTANCE,MAX_DISTANCE,MEAN_DISTANCE,MIN_MIN_DIST,MAX_MIN_DIST,MIN_MAX_DIST,MAX_MAX_DIST,MIN_MEAN_DIST,MAX_MEAN_DIST
zFyfxNQLQUz8Ih2O1jxjvQb.png,0.262,0.0,0.0,0.1643,0.1989,0.0564,0.0675,0.1229,0.1273,0.0,0.0,0.0,1,0,0,0,3.0718,66.4192,20.5059,1,0,0,0,0,0
v9nLfn9p8nmn46eUcYGW5gb.png,0.0797,0.2741,0.0,0.1391,0.1717,0.2761,0.0463,0.0,0.0051,0.0,0.0078,0.0,6,0,1,0,4.8898,75.8527,22.9947,0,0,0,0,0,0
Uo65h17x-P367j8LXIxEqwa.png,0.1915,0.2113,0.0,0.0,0.2101,0.1648,0.21,0.0,0.0,0.0,0.0007,0.0,0,0,1,0,3.7631,68.9049,20.6691,0,0,0,0,0,0
LnskDft2zE8HVGy60TyWowb.png,0.0,0.1407,0.0,0.011,0.3505,0.4435,0.0539,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2.8529,37.0013,9.9071,1,0,1,0,1,0
8ZsGBx2mQdlb7ksHPi3yFQb.png,0.4339,0.0189,0.0,0.2597,0.1686,0.0,0.0654,0.0,0.002,0.0016,0.0497,0.0002,1,2,1,1,4.3247,70.3038,19.5069,0,0,0,0,0,0
5uaIH3pbFlbf5-mi_-2aLAb.png,0.4171,0.0288,0.0,0.0982,0.2306,0.0099,0.0704,0.0778,0.0668,0.0,0.0,0.0,2,0,0,0,3.7466,64.1908,21.0655,0,0,0,0,0,0
HAJToLINon2eR8Q0kqpPRQb.png,0.2693,0.0416,0.0,0.1856,0.1998,0.1364,0.0786,0.0,0.0887,0.0,0.0,0.0,1,0,0,0,2.8966,54.2837,18.2189,1,0,0,0,0,0
tiR7BX-qhkpI7fmg1toaCAa.png,0.1945,0.148,0.0,0.0893,0.1912,0.203,0.0494,0.0,0.1189,0.0,0.0,0.0005,6,0,0,2,3.2314,72.8355,21.8473,0,0,0,0,0,0
aeTVtMiz21FmnVv5EhEEJwa.png,0.2114,0.0795,0.0359,0.2168,0.0555,0.2355,0.1109,0.0361,0.0,0.0,0.0,0.0,0,0,0,0,3.5978,68.157,16.5868,0,0,0,0,0,0
LyB6PZq1oV4X3JCiXcR6Ewa.png,0.4558,0.0356,0.0,0.1246,0.1306,0.0417,0.0217,0.0317,0.0,0.0,0.1569,0.0,1,0,1,0,3.5934,58.5977,17.6955,0,0,0,0,0,0
lXemDiyzWBSuHHa7frcJxAb.png,0.084,0.2081,0.0,0.2296,0.4072,0.0298,0.0275,0.0032,0.0,0.0,0.0096,0.0,1,0,1,0,5.4813,73.1516,25.5967,0,0,0,0,0,0
NThRTDwnA20Wgg4Z7CVexQa.png,0.0392,0.0357,0.0,0.2106,0.1326,0.3501,0.084,0.0166,0.1311,0.0,0.0,0.0,2,0,0,0,4.3877,70.2938,17.7479,0,0,0,0,0,0
dJgwFvMJ8yarUMoy2uljzga.png,0.1356,0.3107,0.0,0.1136,0.1959,0.2033,0.0,0.0384,0.0005,0.0011,0.0005,0.0004,1,2,1,1,5.3115,77.7373,25.8725,0,0,0,1,0,0
5BSBU-jUwdp8oE2o6JEAlQa.png,0.8539,0.0,0.0,0.1412,0.0,0.0,0.0,0.0,0.0022,0.0023,0.0,0.0,1,2,0,0,3.5325,42.0773,9.5969,0,0,1,0,1,0
4yioXrNjQIeCid2kuic5Rwa.png,0.1619,0.0956,0.0,0.2503,0.3048,0.0807,0.1062,0.0,0.0,0.0,0.0,0.0005,0,0,0,2,5.1638,69.6863,22.9302,0,0,0,0,0,0
6iPJAr2Rr4vWwAd3CmUqgwb.png,0.0131,0.2856,0.0,0.0,0.1616,0.2994,0.038,0.1997,0.0,0.0008,0.0,0.0,0,1,0,0,5.4267,69.663,16.1245,0,0,0,0,0,0
